from,to,weight
1,5,81.08150105
1,2,3.053375806
1,3,0.279698547
1,4,15.5854246
6,2,83.71308017
6,3,3.88185654
6,4,12.40506329
7,2,5.252359458
7,3,91.546984
7,4,3.200656545
