from,to,weight
1,5,80.25275173
1,2,3.081940481
1,3,0.211985324
1,4,16.45332246
6,2,84.94390156
6,3,2.823018458
6,4,12.23307999
7,2,4.861630516
7,3,90.94988781
7,4,4.188481675
