from,to,weight
1,5,80.56095098
1,2,2.913526533
1,3,0.256390335
1,4,16.26913216
6,2,82.8378914
6,3,3.884264764
6,4,13.27784384
7,2,5.127201566
7,3,91.93737769
7,4,2.935420744
