from,to,weight
1,5,79.94567678
1,2,3.116040441
1,3,0.301795684
1,4,16.6364871
6,2,81.91391941
6,3,4.120879121
6,4,13.96520147
7,2,5.278969957
7,3,91.97424893
7,4,2.746781116
