from,to,weight
1,5,78.65977767
1,2,2.583372475
1,3,0.172224832
1,4,18.58462502
6,2,83.23147441
6,3,2.5592055
6,4,14.20932009
7,2,4.373831776
7,3,91.92523364
7,4,3.700934579
