from,to,weight
1,5,79.44422701
1,2,2.825831703
1,3,0.227005871
1,4,17.50293542
6,2,84.75052706
6,3,3.09205903
6,4,12.15741391
7,2,4.722638681
7,3,91.7916042
7,4,3.485757121
