Month,Year,Date,Hospital_days,Hospitalised_patients,ICU_days,ICU_patients,ED_days,OPD_appts,GP_interactions,N,GP_per_patient
December,2020,01/12/2020,22590,2415,763,105,1020,18392,11677,13150,0.887984791
,,,,,,,,,,,
January,2020,01/01/2021,19903,2180,717,90,983,17414,12283,13150,0.934068441
,,,,,,,,,,,
February,2020,01/02/2021,19225,2165,494,65,828,16193,11707,13150,0.89026616
,,,,,,,,,,,
March,2020,01/03/2021,21441,2320,529,85,948,18633,12546,13150,0.954068441
,,,,,,,,,,,
April,2021,01/04/2021,26244,2950,821,120,1281,22214,14962,13875,1.078342342
,,,,,,,,,,,
May,2021,01/05/2021,27376,2940,694,135,1253,21886,13267,13875,0.95618018
,,,,,,,,,,,
June,2021,01/06/2021,25767,3010,657,130,1258,23385,14276,13875,1.028900901
,,,,,,,,,,,
July,2021,01/07/2021,26931,2890,822,125,1305,22668,14053,13875,1.012828829
,,,,,,,,,,,
August,2021,01/08/2021,26070,2840,779,130,1307,20940,13244,13875,0.954522523
,,,,,,,,,,,
September,2021,01/09/2021,24150,2740,562,120,1195,21980,14917,13875,1.075099099
,,,,,,,,,,,
October,2021,01/10/2021,26061,2725,687,115,1210,20336,15919,13875,1.147315315
,,,,,,,,,,,
November,2021,01/11/2021,24371,2750,721,105,1216,21790,14998,13875,1.080936937
,,,,,,,,,,,
December,2021,01/12/2021,23758,2545,598,100,1100,18936,12657,13875,0.912216216
,,,,,,,,,,,
January,2021,01/01/2022,23412,2485,635,105,1041,19002,12660,13875,0.912432432
,,,,,,,,,,,
February,2021,01/02/2022,20760,2340,603,110,928,17487,12187,13875,0.878342342
,,,,,,,,,,,
March,2021,01/03/2022,24849,2540,714,110,1045,20169,13704,13875,0.987675676
,,,,,,,,,,,
April,2022,01/04/2022,29930,3115,1012,145,1218,20424,14365,14305,1.004194338
,,,,,,,,,,,
May,2022,01/05/2022,29630,3160,1127,170,1335,22939,15991,14305,1.117860888
,,,,,,,,,,,
June,2022,01/06/2022,26954,3020,658,125,1322,21945,15063,14305,1.052988466
,,,,,,,,,,,
July,2022,01/07/2022,26428,2940,713,105,1256,21300,14810,14305,1.035302342
,,,,,,,,,,,
August,2022,01/08/2022,28463,2895,701,110,1257,21384,15710,14305,1.098217407
,,,,,,,,,,,
September,2022,01/09/2022,25850,2805,705,125,1163,21766,15201,14305,1.062635442
,,,,,,,,,,,
October,2022,01/10/2022,25396,2835,552,105,1200,20794,17088,14305,1.194547361
,,,,,,,,,,,
November,2022,01/11/2022,25179,2860,592,100,1139,21381,16247,14305,1.135756728
,,,,,,,,,,,
December,2022,01/12/2022,24869,2685,598,110,1206,18497,13662,14305,0.955050682
,,,,,,,,,,,
January,2022,01/01/2023,22213,2630,629,120,1118,20655,15211,14305,1.063334498
,,,,,,,,,,,
February,2022,01/02/2023,NA,NA,NA,NA,1006,18482,14101,14305,0.985739252
,,,,,,,,,,,
March,2022,01/03/2023,NA,NA,NA,NA,1095,NA,15371,14305,1.074519399
