Date,avf,pd
01/04/2017,190,65
01/05/2017,270,85
01/06/2017,270,80
01/07/2017,235,70
01/08/2017,260,65
01/09/2017,215,90
01/10/2017,255,50
01/11/2017,260,80
01/12/2017,185,75
01/01/2018,250,80
01/02/2018,195,70
01/03/2018,225,55
01/04/2018,210,65
01/05/2018,245,75
01/06/2018,260,85
01/07/2018,270,95
01/08/2018,265,60
01/09/2018,235,60
01/10/2018,260,70
01/11/2018,240,65
01/12/2018,205,55
01/01/2019,245,85
01/02/2019,245,60
01/03/2019,255,80
01/04/2019,260,75
01/05/2019,260,90
01/06/2019,235,65
01/07/2019,260,80
01/08/2019,230,80
01/09/2019,205,80
01/10/2019,245,60
01/11/2019,250,60
01/12/2019,200,55
01/01/2020,250,65
01/02/2020,240,60
01/03/2020,145,65
01/04/2020,90,55
01/05/2020,150,50
01/06/2020,210,70
01/07/2020,230,60
01/08/2020,200,60
01/09/2020,205,55
01/10/2020,210,80
01/11/2020,215,65
01/12/2020,195,55
01/01/2021,95,60
01/02/2021,115,65
01/03/2021,210,80
01/04/2021,230,80
01/05/2021,230,70
01/06/2021,280,75
01/07/2021,235,55
01/08/2021,195,70
01/09/2021,235,70
01/10/2021,225,75
01/11/2021,260,70
01/12/2021,195,60
01/01/2022,215,65
01/02/2022,205,70
01/03/2022,235,60
01/04/2022,190,55
01/05/2022,250,60
01/06/2022,250,80
01/07/2022,225,65
01/08/2022,215,75
01/09/2022,255,55
01/10/2022,245,55
01/11/2022,220,70
01/12/2022,180,55
01/01/2023,225,70
