exposure,mean,lower,upper,hr,number,events
NA,NA,NA,NA,NA,NA,NA
General population (pre-pandemic),1,1,1,1 (reference),10399825,7495
COVID-19,1.37,1.31,1.43,1.37 (1.31-1.43),3555415,3875
NA,NA,NA,NA,NA,NA,NA
General population (pre-pandemic),1,1,1,1 (reference),10399825,7495
COVID-19 February 2020 to August 2020,2.05,1.8,2.34,2.05 (1.80-2.34),108275,630
COVID-19 September 2020 to June 2021,1.4,1.31,1.5,1.40 (1.31-1.50),1054695,1710
COVID-19 July 2021 to November 2021,1.13,1.02,1.24,1.13 (1.02-1.24),1042910,705
COVID-19 December 2021 to October 2022,1.33,1.21,1.46,1.33 (1.21-1.46),1349535,830
