Date,ed,opd,gp
01/04/2017,,,108729
01/04/2018,9742,,124427
01/04/2019,13007,244910,138687
01/04/2020,11679,217962,151853
01/04/2021,14139,250793,166844
01/04/2022,14315,229567,182820
