Code,Term
V227,Primary laminoplasty of cervical spine
V237,Revisional laminoplasty of cervical spine
V311,Primary anterolateral excision of thoracic intervertebral disc and graft HFQ
V312,Primary anterolateral excision of thoracic intervertebral disc NEC
V313,Primary costotransversectomy of thoracic intervertebral disc
V314,Primary percutaneous endoscopic excision of thoracic intervertebral disc
V318,Other specified primary excision of thoracic intervertebral disc
V319,Unspecified primary excision of thoracic intervertebral disc
V321,Revisional anterolateral excision of thoracic intervertebral disc and graft HFQ
V322,Revisional anterolateral excision of thoracic intervertebral disc NEC
V323,Revisional costotransversectomy of thoracic intervertebral disc
V324,Revisional percutaneous endoscopic excision of thoracic intervertebral disc
V328,Other specified revisional excision of thoracic intervertebral disc
V329,Unspecified revisional excision of thoracic intervertebral disc
V333,Primary anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine
V334,Primary anterior excision of lumbar intervertebral disc NEC
V344,Revisional anterior excision of lumbar intervertebral disc NEC
V371,Posterior fusion of atlantoaxial joint NEC
V375,Posterior fusion of atlantoaxial joint using transarticular screw
V385,Primary posterior interbody fusion of joint of lumbar spine
V386,Primary transforaminal interbody fusion of joint of lumbar spine
V402,Posterior instrumented fusion of cervical spine NEC
V411,Posterior attachment of correctional instrument to spine
V412,Anterior attachment of correctional instrument to spine
V414,Anterior and posterior attachment of correctional instrument to spine
V415,Posterior attachment of spinal growing system
V424,Anterior and posterior epiphysiodesis of spine for correction of deformity
V461,Fixation of fracture of spine using plate
V462,Fixation of fracture of spine using Harrington rod
V662,Revisional posterior fusion of atlantoaxial joint using transarticular screw
