HRG root,Average of national average unit cost (GBP)
AA22,2502.38
AA23,2969.44
AA24,1980.46
AA25,2570.70
AA26,2352.38
AA28,2524.65
AA29,1740.13
AA30,2019.03
AA31,1321.77
AA32,434.25
AA33,1898.95
AA35,3893.93
AA43,897.20
AA50,20361.87
AA51,13294.69
AA52,10116.27
AA53,8341.82
AA54,4932.57
AA55,4176.30
AA56,6643.03
AA57,2914.25
AA60,7486.24
AA61,7576.00
AA70,3515.50
AA71,3747.36
AA80,2952.94
AA81,2059.99
AA82,19988.31
AA83,19679.76
AB11,397.97
AB12,5118.60
AB13,3239.97
AB14,4848.32
AB15,1616.95
AB16,1370.65
AB18,1894.11
AB20,922.93
AB21,1130.53
AB22,686.57
AB23,482.81
AB24,941.87
AB25,1045.47
AB26,1048.93
AB27,1055.62
AB28,1359.13
BZ24,1940.10
BZ30,2108.42
BZ31,2822.61
BZ32,2606.49
BZ33,424.58
BZ34,2301.41
BZ35,2808.56
BZ40,3700.39
BZ41,2744.57
BZ42,3560.87
BZ43,2989.90
BZ44,3006.77
BZ45,2315.86
BZ46,1663.32
BZ50,6779.32
BZ51,5044.44
BZ52,5336.60
BZ53,3733.20
BZ54,3596.50
BZ55,5226.05
BZ56,1997.87
BZ57,1330.96
BZ60,7362.37
BZ61,4842.91
BZ62,4418.23
BZ63,2956.78
BZ64,3147.25
BZ65,1486.17
BZ70,2842.50
BZ71,2887.85
BZ72,2680.53
BZ73,2473.91
BZ74,1012.96
BZ80,5687.24
BZ81,4857.63
BZ82,6433.16
BZ83,3654.14
BZ84,2510.78
BZ85,4002.23
BZ86,2127.47
BZ87,1604.01
BZ88,205.27
BZ89,93.10
BZ90,2902.33
BZ91,4891.26
BZ92,4609.48
BZ93,2758.68
BZ94,2566.63
BZ95,870.62
CA01,26382.11
CA02,10015.20
CA03,5589.91
CA04,5883.58
CA05,3106.22
CA10,5784.03
CA11,3609.22
CA12,2149.69
CA13,1349.86
CA14,3034.72
CA15,2094.24
CA16,768.66
CA20,8897.07
CA21,5394.63
CA22,2886.22
CA23,2899.90
CA24,1891.25
CA25,1368.25
CA26,5970.88
CA27,5366.30
CA28,5423.92
CA29,4185.67
CA30,7271.74
CA31,7189.23
CA32,4163.20
CA33,4388.55
CA34,1450.93
CA35,1859.79
CA36,862.76
CA37,565.83
CA38,2078.16
CA39,3082.43
CA40,2332.48
CA41,39035.71
CA42,23159.25
CA50,6471.05
CA51,6667.12
CA52,4964.62
CA53,2973.24
CA54,1636.31
CA55,1297.88
CA60,3115.47
CA61,3898.89
CA62,2361.08
CA63,4997.28
CA64,3547.64
CA65,1338.27
CA66,1438.09
CA67,5171.37
CA68,4470.78
CA69,2103.12
CA70,3172.62
CA71,1254.20
CA80,21034.23
CA81,7163.42
CA82,5222.85
CA83,3805.15
CA84,3097.46
CA85,1665.79
CA86,1265.54
CA90,33617.18
CA91,11606.47
CA92,6356.76
CA93,5719.39
CA94,4646.99
CA95,2065.37
CA96,4794.84
CA97,3716.01
CA98,1163.02
CB01,4333.19
CB02,2015.61
CD01,3022.19
CD02,1874.02
CD03,698.73
CD04,2646.58
CD05,2294.33
CD06,1877.31
CD07,854.14
CD08,368.82
CD09,1395.80
CD10,657.72
CD11,938.43
DX01,3000.18
DX11,2052.85
DX21,1387.92
DZ01,75208.37
DZ02,7856.68
DZ09,2136.29
DZ10,2716.13
DZ11,3553.08
DZ12,2211.30
DZ13,2868.96
DZ14,3595.14
DZ15,2337.43
DZ16,2926.74
DZ17,3181.42
DZ18,1771.13
DZ19,2292.99
DZ20,1922.03
DZ22,2540.63
DZ23,2691.17
DZ24,4593.32
DZ25,2403.53
DZ26,2364.23
DZ27,3075.09
DZ28,715.82
DZ29,2418.00
DZ30,476.20
DZ31,1181.32
DZ32,514.73
DZ37,1315.08
DZ38,568.23
DZ42,102.59
DZ49,117.07
DZ50,1000.16
DZ51,25883.41
DZ57,327.88
DZ59,478.01
DZ62,12428.81
DZ63,6929.25
DZ64,5228.89
DZ65,3655.13
DZ66,7652.46
DZ67,3755.22
DZ68,3372.83
DZ69,2208.65
DZ70,1037.91
DZ71,1524.27
EB02,2618.33
EB03,1604.58
EB04,919.93
EB05,2433.58
EB06,2355.73
EB07,1310.71
EB08,1399.62
EB09,2608.32
EB10,1972.81
EB12,767.91
EB13,1261.01
EB14,1775.04
EB15,2213.95
EC10,15701.04
EC11,18521.29
EC12,11986.21
EC13,10768.66
EC14,7413.50
EC15,5398.02
EC20,4753.49
EC21,1546.58
EC22,1153.74
ED04,110979.23
ED05,82855.88
ED07,75369.43
ED09,84558.14
ED11,23367.56
ED12,25042.11
ED13,18095.84
ED14,19998.44
ED15,17630.08
ED16,26953.34
ED17,27083.86
ED18,23096.61
ED20,24939.13
ED21,21913.07
ED22,19370.80
ED23,18009.62
ED24,16780.67
ED25,12532.10
ED26,15037.24
ED27,12011.88
ED28,11029.29
ED30,10360.35
ED31,6175.85
EY01,6407.93
EY02,5136.25
EY03,7583.86
EY04,5375.27
EY05,6905.63
EY06,3826.05
EY07,7144.80
EY08,3935.71
EY11,776.50
EY12,2694.98
EY13,1097.12
EY14,16792.56
EY15,18151.68
EY16,7982.80
EY17,4238.78
EY20,10289.26
EY21,6323.99
EY22,9721.95
EY23,4843.21
EY30,5567.67
EY31,4405.71
EY32,4003.74
EY40,4634.14
EY41,4109.36
EY42,3381.14
EY43,3546.81
EY44,6314.08
EY50,1369.35
EY51,848.74
FD01,2773.97
FD02,2772.90
FD03,2798.58
FD04,2637.80
FD05,1632.77
FD10,3631.86
FD11,3527.91
FE01,3912.39
FE02,5177.11
FE03,1871.21
FE10,3752.99
FE11,3369.20
FE12,2336.74
FE13,1455.26
FE20,1424.04
FE21,813.47
FE22,829.75
FE23,1528.75
FE30,1189.81
FE31,926.32
FE32,856.74
FE33,1485.80
FE34,1026.48
FE35,785.84
FE36,1255.22
FE37,2053.70
FE40,1397.59
FE41,1151.67
FE42,1648.68
FE43,1493.07
FE44,1715.22
FE45,1073.68
FE46,3237.54
FE50,2244.85
FF01,13275.97
FF02,8072.06
FF03,12689.03
FF04,7558.06
FF05,1950.15
FF10,8968.07
FF11,8542.21
FF12,7237.76
FF13,4161.27
FF14,1316.94
FF20,15556.60
FF21,8633.36
FF22,5891.71
FF23,9243.26
FF30,14258.58
FF31,10295.86
FF32,8757.75
FF33,7014.61
FF34,5705.75
FF35,9549.07
FF36,1792.60
FF37,5010.56
FF40,3944.92
FF41,2694.51
FF42,1704.26
FF43,1133.06
FF47,3416.44
FF48,2129.88
FF50,10139.91
FF51,7074.43
FF52,4114.88
FF53,2160.21
FF60,5833.81
FF61,4683.39
FF62,3989.91
FF63,3762.20
FF70,21945.82
GA03,15765.22
GA04,13604.82
GA05,6116.47
GA06,6497.01
GA07,5584.36
GA10,5623.85
GA11,21917.41
GA13,3294.90
GA14,62357.13
GA15,40829.39
GA16,21119.39
GB05,4036.96
GB06,3438.46
GB09,4264.27
GB10,2326.19
GB11,2125.15
GB12,2113.89
GB13,1422.30
GC01,2459.85
GC12,2639.02
GC17,2896.16
GC18,1460.85
HC20,4576.15
HC21,12737.24
HC26,2493.99
HC27,3218.99
HC28,6628.51
HC29,1665.87
HC30,3819.52
HC31,5137.78
HC32,2153.38
HC50,34929.56
HC51,29600.32
HC52,20198.04
HC53,16924.08
HC54,13064.18
HC60,10376.50
HC61,10983.13
HC62,7874.02
HC63,7942.32
HC64,6903.55
HC65,2849.41
HC70,8283.43
HC71,5750.29
HC72,1286.12
HD21,1536.78
HD23,1730.16
HD24,1965.53
HD25,2565.01
HD26,1791.46
HD39,1928.26
HD40,2129.46
HE11,5280.98
HE12,3049.01
HE21,3870.03
HE22,3468.66
HE31,2993.58
HE32,1907.06
HE41,1755.68
HE42,1766.16
HE51,3238.30
HE52,2222.72
HE71,3094.61
HE72,1889.49
HE81,2910.28
HE82,2891.08
HE83,2049.77
HN12,9125.39
HN13,9364.43
HN14,5819.17
HN15,2750.52
HN16,1403.79
HN22,8139.12
HN23,7454.25
HN24,5385.10
HN25,2676.38
HN26,1051.71
HN32,7923.98
HN33,7013.15
HN34,4841.90
HN35,2586.84
HN36,902.33
HN42,6435.36
HN43,4913.84
HN44,3537.80
HN45,2103.92
HN46,695.87
HN52,7720.52
HN53,6755.28
HN54,4890.05
HN55,2777.08
HN56,802.17
HN62,7890.85
HN63,6449.07
HN64,4139.74
HN65,2766.60
HN66,685.11
HN80,20602.90
HN81,12183.11
HN85,17339.17
HN86,8704.02
HN87,26218.91
HN93,4047.86
HT12,10709.38
HT13,7929.23
HT14,5870.27
HT15,3584.24
HT22,9481.00
HT23,7031.16
HT24,4825.59
HT25,3336.78
HT32,7535.33
HT33,6100.68
HT34,4536.49
HT35,3392.89
HT42,5276.49
HT43,4111.06
HT44,2861.15
HT45,2219.91
HT52,8025.23
HT53,6354.55
HT54,4182.44
HT55,4124.13
HT62,7376.78
HT63,5613.20
HT64,3594.86
HT65,2921.01
HT81,12233.91
HT86,8727.85
JA12,2209.44
JA13,1713.42
JA20,4538.83
JA21,5476.24
JA30,6209.25
JA31,6339.69
JA32,5974.89
JA33,7924.90
JA34,12463.10
JA35,9639.87
JA36,18425.37
JA37,20113.80
JA38,4816.20
JA39,6400.71
JA40,4904.52
JA41,6089.85
JA42,4602.48
JA43,3256.78
JA44,546.13
JA45,1432.84
JB40,45396.36
JB41,23017.85
JB42,20064.17
JB43,25328.28
JB44,9999.27
JB45,5997.06
JB46,4713.03
JB47,3928.87
JB48,4088.37
JB49,3885.99
JB50,32786.12
JB51,8766.00
JB52,5716.57
JB53,4162.50
JB54,2179.05
JB55,5255.05
JB56,1799.19
JB57,1611.62
JB58,2315.20
JB60,2851.62
JB61,4253.29
JB70,1872.46
JB71,694.38
JC40,10275.96
JC41,6095.63
JC42,1674.38
JC43,996.22
JC44,506.86
JC45,288.68
JC46,655.67
JC47,772.53
JD07,2887.13
KA03,4673.28
KA04,5785.48
KA05,1233.88
KA06,1765.26
KA07,1335.41
KA08,1356.50
KA09,5679.85
KB01,1487.31
KB02,1292.27
KB03,2095.43
KB04,1100.50
KC04,1076.67
KC05,1694.28
LA01,15099.27
LA02,17537.50
LA03,17997.33
LA04,2920.63
LA05,1605.79
LA07,2880.84
LA08,2826.46
LA09,2425.21
LA11,911.60
LA12,253.67
LB06,2854.27
LB09,2467.65
LB10,6494.82
LB12,4639.18
LB13,4040.22
LB14,1933.02
LB15,1101.66
LB16,2063.69
LB17,301.52
LB18,931.98
LB19,2137.88
LB20,2185.83
LB21,6662.94
LB22,10546.19
LB25,4554.68
LB26,2452.17
LB28,1804.03
LB29,4728.76
LB33,1695.95
LB35,2253.98
LB36,1487.65
LB37,1324.65
LB38,1971.49
LB39,16375.97
LB40,2149.21
LB42,865.37
LB43,819.39
LB46,11877.24
LB47,7232.09
LB48,6504.49
LB50,5521.76
LB51,7373.88
LB52,5180.05
LB53,3991.29
LB54,2853.55
LB55,2062.33
LB56,2045.55
LB57,2654.95
LB58,2354.68
LB59,4022.79
LB60,8602.30
LB61,6099.39
LB62,7245.02
LB63,9890.08
LB64,4496.59
LB65,3893.18
LB66,5159.79
LB67,15674.41
LB68,5123.33
LB69,9902.59
LB70,4397.58
LB71,24540.58
LB72,1487.80
LB73,1874.38
LB74,5920.80
LB75,6256.11
LB76,973.49
LB77,1868.36
LB78,1337.57
LB79,3783.61
LB80,2974.13
LB81,9688.60
MA01,9522.82
MA02,6607.31
MA03,4968.83
MA04,3569.46
MA06,6090.74
MA07,5731.99
MA08,5091.58
MA09,4584.99
MA10,3180.37
MA11,4637.16
MA12,2010.01
MA22,2064.71
MA23,1147.31
MA24,1387.36
MA25,1121.37
MA26,7693.07
MA27,2710.05
MA28,6860.18
MA29,5289.44
MA30,4454.62
MA31,1877.56
MA32,1642.01
MA33,1836.02
MA34,1873.25
MA35,1401.90
MA36,489.64
MA37,735.96
MA38,1300.67
MA39,1891.42
MA40,2044.69
MA42,740.96
MA44,1600.48
MA45,459.17
MA46,836.04
MA47,1217.48
MA48,744.63
MA50,2970.64
MA51,2860.50
MA52,2006.03
MA53,2553.64
MA54,1832.03
MA55,864.06
MA56,961.21
MB05,3213.85
MB08,1442.14
MB09,2590.48
MC09,452.36
MC10,389.05
MC11,1624.70
MC12,19852.02
MC13,3983.45
MC14,4583.01
MC20,4120.10
MC21,1893.20
NZ16,675.05
NZ17,1251.78
NZ18,1592.49
NZ19,1047.68
NZ20,914.59
NZ21,289.50
NZ22,230.31
NZ24,2228.40
NZ25,2481.38
NZ26,1424.28
NZ27,2694.06
NZ30,2886.56
NZ31,3640.54
NZ32,4482.43
NZ33,5078.73
NZ34,5479.42
NZ40,3492.54
NZ41,4421.44
NZ42,5367.61
NZ43,4981.20
NZ44,6732.77
NZ50,5157.24
NZ51,6835.78
NZ71,1389.87
NZ72,1067.71
PB04,1680.73
PB05,3022.83
PB06,2104.48
PC63,2208.49
PD11,1042.58
PD12,2002.78
PD13,5607.05
PD14,2933.42
PD15,2477.38
PD65,1709.34
PE23,3467.01
PE24,2306.67
PE62,995.92
PF21,1293.91
PF25,3581.03
PF26,2360.11
PF27,2043.73
PF28,2579.75
PG71,2848.27
PH34,2262.70
PJ35,2050.72
PJ66,1043.81
PK36,1924.71
PK67,2361.83
PK68,2517.34
PK72,4188.16
PL38,2913.32
PL69,1827.79
PL70,1875.05
PM40,5730.48
PM41,8286.24
PM42,3472.42
PM43,4482.67
PM44,765.23
PM45,7314.15
PN46,1585.14
PN47,2223.43
PN48,2548.46
PN49,1629.11
PP64,1440.77
PQ01,4268.10
PR01,6604.27
PR02,3005.53
PR03,1754.32
PR04,1646.79
PR05,6828.98
PR06,2115.53
PR07,1220.00
PT52,3091.98
PT53,8596.46
PV08,2082.47
PV31,2741.75
PV32,1719.50
PW01,1337.03
PW16,3072.90
PW17,1885.84
PW20,1481.42
PX01,2477.18
PX02,3146.82
PX03,3735.59
PX04,2782.06
PX05,1810.01
PX06,2089.73
PX07,1854.58
PX08,2514.10
PX09,2032.22
PX10,2794.91
PX22,900.99
PX29,1086.04
PX30,2675.51
PX50,1478.37
PX51,2200.05
PX54,1453.22
PX55,2783.83
PX56,1759.64
PX57,1454.92
RD97,0.00
RD98,81.71
SA01,2486.59
SA02,2370.75
SA03,1833.19
SA04,1128.53
SA05,1201.87
SA06,2590.10
SA07,1832.83
SA08,1507.67
SA09,1226.77
SA11,1325.15
SA12,1608.79
SA14,5993.86
SA15,10050.33
SA16,21548.74
SA17,2496.71
SA18,15820.32
SA19,7464.22
SA20,58687.12
SA21,144697.73
SA22,107763.12
SA24,4210.81
SA25,4755.67
SA26,19594.86
SA30,2476.94
SA31,4316.27
SA32,2034.26
SA33,1189.09
SA34,4019.59
SA35,2155.81
SA36,2238.67
SA37,2192.91
SA38,43512.85
SA39,52204.12
SA40,39239.98
SA41,1702.18
SA42,1533.13
SA43,1092.62
SA44,881.50
SA45,554.66
SB97,323.80
SC97,2233.50
VA10,3652.69
VA11,6040.73
VA12,5985.91
VA13,7673.23
VA14,9744.01
VA15,15534.88
WD01,2874.06
WD02,4240.49
WD03,1807.57
WD04,2423.51
WD05,3602.73
WD06,3113.77
WD07,2813.73
WD08,1639.46
WD09,3848.99
WH01,4099.59
WH02,819.20
WH03,1804.14
WH04,1769.70
WH05,929.77
WH06,1222.89
WH07,3499.34
WH08,1480.87
WH09,3837.79
WH10,969.00
WH11,1440.45
WH12,2271.09
WH13,1614.07
WH14,3396.15
WH15,1047.89
WH16,1262.24
WH17,1803.67
WH18,1975.13
WH19,1996.87
WH20,3642.18
WH21,2121.45
WH22,1343.17
WH23,1086.32
WH50,930.17
WH51,1245.21
WH52,1777.98
WH53,1383.50
WH54,4235.92
WJ01,4538.44
WJ02,4445.35
WJ03,2488.98
WJ04,1813.02
WJ06,4592.64
WJ07,2780.70
WJ10,4429.54
WJ11,1890.60
YA01,8416.61
YA02,8803.69
YA03,8358.07
YA04,9340.92
YA10,5376.57
YA11,3070.97
YA12,4613.21
YA13,5255.50
YC01,1248.75
YC02,1319.17
YC10,2136.20
YD01,3073.02
YD02,1002.84
YD03,1093.25
YD04,1377.51
YD05,897.15
YF01,3272.65
YF02,1482.76
YF03,12085.58
YF04,4050.04
YF05,1352.55
YG01,3615.51
YG02,10336.72
YG03,9703.21
YG04,6520.17
YG05,4651.43
YG06,1456.44
YG07,3562.89
YG10,1581.19
YG11,2042.31
YG12,1336.98
YH01,5902.05
YH02,5611.30
YH03,5345.54
YH10,2117.64
YH20,3171.24
YH30,1200.45
YH31,2297.66
YH32,3277.86
YJ03,764.49
YJ04,1878.90
YJ08,1329.95
YJ09,1239.77
YJ11,1872.33
YJ12,242.68
YJ13,1341.93
YJ14,508.53
YJ15,834.03
YL01,3531.57
YL02,1805.93
YL10,1877.86
YL11,1562.28
YL12,696.54
YL20,1297.01
YL21,1243.81
YL30,4605.65
YQ04,13357.52
YQ05,8831.93
YQ06,32035.43
YQ07,10847.58
YQ08,13528.72
YQ09,11039.14
YQ10,12025.21
YQ11,11964.24
YQ12,8353.20
YQ13,15148.25
YQ14,3946.15
YQ15,3454.14
YQ16,2691.73
YQ20,25146.26
YQ21,21879.02
YQ22,9081.40
YQ23,8219.61
YQ24,18724.83
YQ25,12448.63
YQ26,4210.13
YQ30,7875.31
YQ31,6593.54
YQ32,5936.95
YQ40,3566.24
YQ41,5678.54
YQ42,2938.71
YQ43,1944.51
YQ50,1895.49
YQ51,1440.64
YR10,4108.30
YR11,3435.15
YR12,5891.67
YR13,5974.27
YR14,5193.13
YR15,4032.68
YR16,6240.17
YR22,4588.85
YR23,5039.88
YR24,4172.36
YR25,1895.61
YR26,1926.17
YR30,3146.07
YR31,2006.89
YR32,1365.61
YR33,759.01
YR40,2360.57
YR41,2173.72
YR42,2296.59
YR43,664.62
YR44,1518.36
YR45,2850.74
YR46,509.07
YR47,1481.65
YR48,1535.75
YR50,6531.76
YR51,6057.19
YR52,4904.71
YR53,6961.97
YR54,4237.50
YR55,3623.73
YR56,1386.83
YR57,3926.86
YR58,1797.62
YR59,5168.99
YR60,21632.02
YR61,13785.28
YR62,18242.59
YR63,12900.15
YR64,13451.90
YR65,10930.92
YR66,10077.18
YR67,9385.71
